ma_hoa_don,thoi_gian,ma_khach_hang,ten_khach_hang,tong_tien_hang,giam_gia,khach_da_tra,con_can_thu,trang_thai,ngay_tao
HD000209,2026-05-16T00:00:00,KH01005,Yến Dương,1727000,0,1727000,0,Hoàn thành,2026-05-16T00:00:00
HD000210,2026-05-06T00:00:00,KH01051,Anh Bùi,1250000,0,1250000,0,Hoàn thành,2026-05-06T00:00:00
HD000211,2026-04-07T00:00:00,KH01076,Chị Mai Hoàng,4844450,0,4844450,0,Hoàn thành,2026-04-07T00:00:00
HD000212,2026-05-25T00:00:00,KH01007,Ông Phúc Trần,4181000,418100,3762900,0,Hoàn thành,2026-05-25T00:00:00
HD000213,2026-05-19T00:00:00,KH01010,Bác Hưng Dương,115000,0,115000,0,Hoàn thành,2026-05-19T00:00:00
HD000214,2026-04-22T00:00:00,KH01015,Lâm Mai,4303400,0,4303400,0,Hoàn thành,2026-04-22T00:00:00
HD000215,2026-04-15T00:00:00,KH01048,Bà Vi Dương,2266400,0,2266400,0,Hoàn thành,2026-04-15T00:00:00
HD000216,2026-05-05T00:00:00,KH01023,Cô Kim Lê,3741600,0,3741600,0,Hoàn thành,2026-05-05T00:00:00
HD000217,2026-04-13T00:00:00,KH01059,Cô Linh Lê,2255000,0,2255000,0,Hoàn thành,2026-04-13T00:00:00
HD000218,2026-05-25T00:00:00,KH01006,Bác Quang Nguyễn,1253000,0,1253000,0,Hoàn thành,2026-05-25T00:00:00
HD000219,2026-03-13T00:00:00,KH01039,Lâm Phạm,2511450,0,2511450,0,Hoàn thành,2026-03-13T00:00:00
HD000220,2026-05-26T00:00:00,KH01048,Bà Vi Dương,2654000,265400,2388600,0,Hoàn thành,2026-05-26T00:00:00
HD000221,2026-05-10T00:00:00,KH01019,Kim Dương,1264000,126400,1137600,0,Hoàn thành,2026-05-10T00:00:00
HD000222,2026-05-14T00:00:00,KH01045,Cô Xuân Đặng,3902000,0,3902000,0,Hoàn thành,2026-05-14T00:00:00
HD000223,2026-04-29T00:00:00,KH01025,Hà Hữu Mai,1381000,0,1381000,0,Hoàn thành,2026-04-29T00:00:00
HD000224,2026-04-24T00:00:00,KH01043,Anh Mai Bùi,1286000,0,1286000,0,Hoàn thành,2026-04-24T00:00:00
HD000225,2026-03-11T00:00:00,KH01018,Cô Thành Đặng,798900,0,798900,0,Hoàn thành,2026-03-11T00:00:00
HD000226,2026-05-14T00:00:00,KH01089,Hải Thị Mai,695000,0,695000,0,Hoàn thành,2026-05-14T00:00:00
HD000227,2026-05-09T00:00:00,KH01059,Cô Linh Lê,3745000,0,3745000,0,Hoàn thành,2026-05-09T00:00:00
HD000228,2026-03-17T00:00:00,KH01017,Cô Linh Hoàng,3213000,0,3213000,0,Hoàn thành,2026-03-17T00:00:00
HD000229,2026-05-25T00:00:00,KH01038,Mai Hoàng,981000,0,981000,0,Hoàn thành,2026-05-25T00:00:00
HD000230,2026-05-02T00:00:00,KH01057,Bác Anh Phạm,4956000,0,4956000,0,Hoàn thành,2026-05-02T00:00:00
HD000231,2026-03-09T00:00:00,KH01041,Nam Mai,599000,0,599000,0,Hoàn thành,2026-03-09T00:00:00
HD000232,2026-04-10T00:00:00,KH01019,Kim Dương,4935000,0,4935000,0,Hoàn thành,2026-04-10T00:00:00
HD000233,2026-04-22T00:00:00,KH01055,Hải Hoàng,3024400,0,3024400,0,Hoàn thành,2026-04-22T00:00:00
HD000234,2026-03-09T00:00:00,KH01057,Bác Anh Phạm,2548950,0,2548950,0,Hoàn thành,2026-03-09T00:00:00
HD000235,2026-05-24T00:00:00,KH01055,Hải Hoàng,1902000,0,1902000,0,Hoàn thành,2026-05-24T00:00:00
HD000236,2026-06-06T00:00:00,KH01012,Quý cô Chi Phạm,498000,0,498000,0,Hoàn thành,2026-06-06T00:00:00
HD000237,2026-04-23T00:00:00,KH01047,Hưng Mai,4757000,0,4757000,0,Hoàn thành,2026-04-23T00:00:00
HD000238,2026-05-06T00:00:00,KH01081,Thảo Dương,797500,0,797500,0,Hoàn thành,2026-05-06T00:00:00
HD000239,2026-03-23T00:00:00,KH01057,Bác Anh Phạm,3366000,0,3366000,0,Hoàn thành,2026-03-23T00:00:00
HD000240,2026-03-12T00:00:00,KH01034,Hưng Trí Nguyễn,3670000,0,3670000,0,Hoàn thành,2026-03-12T00:00:00
HD000241,2026-06-03T00:00:00,KH01053,Bà Bảo Lê,2228000,0,2228000,0,Hoàn thành,2026-06-03T00:00:00
HD000242,2026-04-11T00:00:00,KH01015,Lâm Mai,2816250,0,2816250,0,Hoàn thành,2026-04-11T00:00:00
HD000243,2026-05-11T00:00:00,KH01072,Hạnh Lê,3460000,0,3460000,0,Hoàn thành,2026-05-11T00:00:00
HD000244,2026-06-04T00:00:00,KH01055,Hải Hoàng,2196000,0,2196000,0,Hoàn thành,2026-06-04T00:00:00
HD000245,2026-05-26T00:00:00,KH01025,Hà Hữu Mai,1870000,0,1870000,0,Hoàn thành,2026-05-26T00:00:00
HD000246,2026-03-25T00:00:00,KH01095,Ông Anh Hoàng,1610000,161000,1449000,0,Hoàn thành,2026-03-25T00:00:00
HD000247,2026-05-01T00:00:00,KH01035,Tú Thị Hoàng,1458300,0,1458300,0,Hoàn thành,2026-05-01T00:00:00
HD000248,2026-04-24T00:00:00,KH01026,Khoa Mai Bảo Nguyễn,3415000,0,3415000,0,Hoàn thành,2026-04-24T00:00:00
HD000249,2026-04-23T00:00:00,KH01023,Cô Kim Lê,4636150,0,4636150,0,Hoàn thành,2026-04-23T00:00:00
HD000250,2026-04-28T00:00:00,KH01019,Kim Dương,1972000,0,1972000,0,Hoàn thành,2026-04-28T00:00:00
HD000251,2026-03-21T00:00:00,KH01067,Quý ông Trọng Lê,1844600,0,1844600,0,Hoàn thành,2026-03-21T00:00:00
HD000252,2026-04-27T00:00:00,KH01022,Minh Hải Dương,1307550,0,1307550,0,Hoàn thành,2026-04-27T00:00:00
HD000253,2026-05-18T00:00:00,KH01032,Châu Bùi,3727000,0,3727000,0,Hoàn thành,2026-05-18T00:00:00
HD000254,2026-03-20T00:00:00,KH01031,Hưng Đặng,2804800,0,2804800,0,Hoàn thành,2026-03-20T00:00:00
HD000255,2026-04-15T00:00:00,KH01042,Cô Lâm Nguyễn,2529000,0,2529000,0,Hoàn thành,2026-04-15T00:00:00
HD000256,2026-04-26T00:00:00,KH01006,Bác Quang Nguyễn,2915000,0,2915000,0,Hoàn thành,2026-04-26T00:00:00
HD000257,2026-03-26T00:00:00,KH01021,Nhiên Đặng,2355600,0,2355600,0,Hoàn thành,2026-03-26T00:00:00
HD000258,2026-03-28T00:00:00,KH01016,Trung Hải Trần,1826800,0,1826800,0,Hoàn thành,2026-03-28T00:00:00
HD000259,2026-03-24T00:00:00,KH01093,Quý cô Phương Vũ,1214000,0,1214000,0,Hoàn thành,2026-03-24T00:00:00
HD000260,2026-05-08T00:00:00,KH01028,Bảo Dương,3163000,0,3163000,0,Hoàn thành,2026-05-08T00:00:00
HD000261,2026-06-02T00:00:00,KH01016,Trung Hải Trần,1962000,0,1962000,0,Hoàn thành,2026-06-02T00:00:00
HD000262,2026-04-28T00:00:00,KH01056,Nhật Lê,1062000,0,1062000,0,Hoàn thành,2026-04-28T00:00:00
HD000263,2026-06-04T00:00:00,KH01044,Anh Mai,868800,0,868800,0,Hoàn thành,2026-06-04T00:00:00
HD000264,2026-05-19T00:00:00,KH01056,Nhật Lê,1508000,0,1508000,0,Hoàn thành,2026-05-19T00:00:00
HD000265,2026-05-10T00:00:00,KH01014,Quang Phạm,3609000,0,3609000,0,Hoàn thành,2026-05-10T00:00:00
HD000266,2026-05-06T00:00:00,KH01001,Bà Nhật Mai,2188000,0,2188000,0,Hoàn thành,2026-05-06T00:00:00
HD000267,2026-04-14T00:00:00,KH01023,Cô Kim Lê,1393800,0,1393800,0,Hoàn thành,2026-04-14T00:00:00
HD000268,2026-05-15T00:00:00,KH01044,Anh Mai,814700,0,814700,0,Hoàn thành,2026-05-15T00:00:00
HD000269,2026-05-01T00:00:00,KH01058,Xuân Phạm,1680500,0,1680500,0,Hoàn thành,2026-05-01T00:00:00
HD000270,2026-03-21T00:00:00,KH01017,Cô Linh Hoàng,3461000,0,3461000,0,Hoàn thành,2026-03-21T00:00:00
HD000271,2026-03-22T00:00:00,KH01013,Chi Hoàng,6038000,0,6038000,0,Hoàn thành,2026-03-22T00:00:00
HD000272,2026-05-20T00:00:00,KH01039,Lâm Phạm,3538600,0,3538600,0,Hoàn thành,2026-05-20T00:00:00
HD000273,2026-04-18T00:00:00,KH01058,Xuân Phạm,944000,0,944000,0,Hoàn thành,2026-04-18T00:00:00
HD000274,2026-04-16T00:00:00,KH01007,Ông Phúc Trần,2320600,0,2320600,0,Hoàn thành,2026-04-16T00:00:00
HD000275,2026-03-16T00:00:00,KH01079,Thành Tấn Vũ,3679000,0,3679000,0,Hoàn thành,2026-03-16T00:00:00
HD000276,2026-05-12T00:00:00,KH01049,Phúc Trí Hoàng,2096000,0,2096000,0,Hoàn thành,2026-05-12T00:00:00
HD000277,2026-04-28T00:00:00,KH01011,Lâm Văn Phạm,2077200,0,2077200,0,Hoàn thành,2026-04-28T00:00:00
HD000278,2026-05-19T00:00:00,KH01044,Anh Mai,3344000,0,3344000,0,Hoàn thành,2026-05-19T00:00:00
HD000279,2026-04-22T00:00:00,KH01042,Cô Lâm Nguyễn,1403000,0,1403000,0,Hoàn thành,2026-04-22T00:00:00
HD000280,2026-05-27T00:00:00,KH01011,Lâm Văn Phạm,1680400,0,1680400,0,Hoàn thành,2026-05-27T00:00:00
HD000281,2026-05-27T00:00:00,KH01080,Khoa Xuân Nguyễn,5353000,0,5353000,0,Hoàn thành,2026-05-27T00:00:00
HD000282,2026-03-27T00:00:00,KH01049,Phúc Trí Hoàng,1710500,0,1710500,0,Hoàn thành,2026-03-27T00:00:00
HD000283,2026-05-27T00:00:00,KH01019,Kim Dương,4126000,0,4126000,0,Hoàn thành,2026-05-27T00:00:00
HD000284,2026-04-01T00:00:00,KH01014,Quang Phạm,3105700,0,3105700,0,Hoàn thành,2026-04-01T00:00:00
HD000285,2026-04-13T00:00:00,KH01057,Bác Anh Phạm,4175000,0,4175000,0,Hoàn thành,2026-04-13T00:00:00
HD000286,2026-05-28T00:00:00,KH01049,Phúc Trí Hoàng,4926000,0,4926000,0,Hoàn thành,2026-05-28T00:00:00
HD000287,2026-03-26T00:00:00,KH01031,Hưng Đặng,1524500,0,1524500,0,Hoàn thành,2026-03-26T00:00:00
HD000288,2026-04-30T00:00:00,KH01090,Cô Nhật Dương,3157800,0,3157800,0,Hoàn thành,2026-04-30T00:00:00
HD000289,2026-05-26T00:00:00,KH01017,Cô Linh Hoàng,3882600,0,3882600,0,Hoàn thành,2026-05-26T00:00:00
HD000290,2026-04-01T00:00:00,KH01060,Minh Đức Phạm,3048000,0,3048000,0,Hoàn thành,2026-04-01T00:00:00
HD000291,2026-05-04T00:00:00,KH01063,Quý ông Minh Phạm,5438000,0,5438000,0,Hoàn thành,2026-05-04T00:00:00
HD000292,2026-03-13T00:00:00,KH01037,Hạnh Thị Nguyễn,3264000,0,3264000,0,Hoàn thành,2026-03-13T00:00:00
HD000293,2026-04-14T00:00:00,KH01033,Quý cô Kim Lê,3715800,0,3715800,0,Hoàn thành,2026-04-14T00:00:00
HD000294,2026-04-03T00:00:00,KH01068,Dương Mai,606400,0,606400,0,Hoàn thành,2026-04-03T00:00:00
HD000295,2026-03-19T00:00:00,KH01037,Hạnh Thị Nguyễn,3275000,0,3275000,0,Hoàn thành,2026-03-19T00:00:00
HD000296,2026-05-01T00:00:00,KH01022,Minh Hải Dương,3097300,0,3097300,0,Hoàn thành,2026-05-01T00:00:00
HD000297,2026-05-08T00:00:00,KH01032,Châu Bùi,3288500,0,3288500,0,Hoàn thành,2026-05-08T00:00:00
HD000298,2026-05-25T00:00:00,KH01021,Nhiên Đặng,1158000,0,1158000,0,Hoàn thành,2026-05-25T00:00:00
